Tm,Tm2,From,To,W,L,T,W-L%,AV,Passer,Rusher,Receiver,Coaching,Yr plyf,W plyf,L plyf,W-L%,Chmp,SBwl,Conf,Div
Pittsburgh Steelers,Pittsburgh Steelers,1933,2022,652,563,22,0.537,Roethlisberger,Roethlisberger,Harris,Ward,Noll,33,36,27,0.571,6,6,8,25
Pittsburgh Pirates,Pittsburgh Steelers,1933,1939,22,55,3,0.286,,,,,,0,0,0,,0,0,0,0
Pittsburgh Steelers,Pittsburgh Steelers,1940,1942,10,20,3,0.333,,,,,,0,0,0,,0,0,0,0
Phi/Pit Eagles/Steelers*,Pittsburgh Steelers,1943,1943,5,4,1,0.556,,,,,,0,0,0,,,,,0
Chi/Pit Cards/Steelers*,Pittsburgh Steelers,1944,1944,0,10,0,0,,,,,,0,0,0,,,,,0
Pittsburgh Steelers,Pittsburgh Steelers,1945,2022,620,488,16,0.559,,,,,,33,36,27,,6,6,8,26
San Francisco 49ers,San Francisco 49ers,1946,2022,599,506,16,0.542,Rice,Montana,Gore,Rice,Seifert,28,35,23,0.603,5,5,7,21
Seattle Seahawks,Seattle Seahawks,1976,2022,374,350,1,0.517,Wilson,Wilson,Alexander,Largent,Carroll,19,17,18,0.486,1,1,3,11
Tampa Bay Buccaneers,Tampa Bay Buccaneers,1976,2022,291,433,1,0.402,Brooks,Winston,Wilder,Evans,Gruden,12,11,10,0.524,2,2,2,7
Tennessee Titans,Tennessee Titans,1960,2022,463,480,6,0.491,Matthews,Moon,George,Givins,Fisher,25,17,23,0.425,2,0,1,11
Houston Oilers,Tennessee Titans,1960,1996,251,291,6,0.463,,,,,,15,9,13,,2,0,0,6
Tennessee Oilers,Tennessee Titans,1997,1998,16,16,0,0.5,,,,,,0,0,0,,0,0,0,0
Tennessee Titans,Tennessee Titans,1999,2022,196,173,0,0.531,,,,,,10,8,10,,0,0,1,6
Washington Football Team,Washington Football Team,1932,2022,617,622,28,0.498,Green,Theismann,Riggins,Monk,Gibbs,25,23,20,0.535,5,3,5,16
Boston Braves,Washington Football Team,1932,1932,4,4,2,0.5,,,,,,0,0,0,,0,0,0,0
Boston Redskins,Washington Football Team,1933,1936,20,24,3,0.455,,,,,,1,0,1,,0,0,0,1
Washington Redskins,Washington Football Team,1937,2019,579,575,23,0.502,,,,,,23,23,18,,5,3,5,14
Washington Football Team,Washington Football Team,2020,2021,14,19,0,0.424,,,,,,1,0,1,,,0,,1
Washington Commanders,Washington Football Team,2022,2022,0,0,0,,,,,,,,,,,,,,1
