NFL Week 1 Over Under Totals 2018,,,,,,
Home Team ID,Date,Opening Total,Opening Result,Closing Total,Closing Result,Game Total
CIN 21 @ CHI 24,2013-09-08,43,over,41.5,over,45
MIA 23 @ CLE 10,2013-09-08,41.5,under,40.5,under,33
MIN 24 @ DET 34,2013-09-08,46.5,over,46,over,58
OAK 17 @ IND 21,2013-09-08,47,under,45,under,38
ARI 24 @ STL 27,2013-09-08,41.5,over,42.5,over,51
GB 28 @ SF 34,2013-09-08,48.5,over,47,over,62
NYG 31 @ DAL 36,2013-09-08,48.5,over,49.5,over,67
PHI 33 @ WAS 27,2013-09-09,50.5,over,51,over,60
HOU 31 @ SD 28,2013-09-09,44,over,44,over,59
NFL Week 1 Over Under Totals 2012,,,,,,
Home Team ID,Date,Opening Total,Opening Result,Closing Total,Closing Result,Game Total
DAL 24 @ NYG 17,2012-09-05,47,under,45.5,under,41
IND 21 @ CHI 41,2012-09-09,40.5,over,41.5,over,62
NE 34 @ TEN 13,2012-09-09,47.5,under,48,under,47
BUF 28 @ NYJ 48,2012-09-09,42.5,over,39.5,over,76
WAS 40 @ NO 32,2012-09-09,50.5,over,50,over,72
JAC 23 @ MIN 26,2012-09-09,38,over,38,over,49
ATL 40 @ KC 24,2012-09-09,41.5,over,43,over,64
PHI 17 @ CLE 16,2012-09-09,41.5,under,42,under,33
STL 23 @ DET 27,2012-09-09,46.5,over,46,over,50
MIA 10 @ HOU 30,2012-09-09,43.5,under,41.5,under,40
SF 30 @ GB 22,2012-09-09,45,over,46.5,over,52
SEA 16 @ ARI 20,2012-09-09,41.5,under,41,under,36
CAR 10 @ TB 16,2012-09-09,46.5,under,45.5,under,26
PIT 19 @ DEN 31,2012-09-09,45,over,45.5,over,50
CIN 13 @ BAL 44,2012-09-10,41,over,43,over,57
SD 22 @ OAK 14,2012-09-10,47.5,under,47.5,under,36
NFL Week 1 Over Under Totals 2011,,,,,,
Home Team ID,Date,Opening Total,Opening Result,Closing Total,Closing Result,Game Total
NO 34 @ GB 42,2011-09-08,46,over,47.5,over,76
PIT 7 @ BAL 35,2011-09-11,37,over,37,over,42
DET 27 @ TB 20,2011-09-11,40,over,43.5,over,47
ATL 12 @ CHI 30,2011-09-11,41,over,40.5,over,42
BUF 41 @ KC 7,2011-09-11,42,over,38.5,over,48
IND 7 @ HOU 34,2011-09-11,46.5,under,44,under,41
PHI 31 @ STL 13,2011-09-11,44.5,under,44,push,44
CIN 27 @ CLE 17,2011-09-11,37,over,36.5,over,44
TEN 14 @ JAC 16,2011-09-11,40,under,38,under,30
NYG 14 @ WAS 28,2011-09-11,38.5,over,40.5,over,42
CAR 21 @ ARI 28,2011-09-11,37,over,37.5,over,49
SEA 17 @ SF 33,2011-09-11,40,over,38,over,50
MIN 17 @ SD 24,2011-09-11,41,push,43.5,under,41
DAL 24 @ NYJ 27,2011-09-11,41,over,41,over,51
NE 38 @ MIA 24,2011-09-12,45,over,45.5,over,62
OAK 23 @ DEN 20,2011-09-12,41,over,40.5,over,43
NFL Week 1 Over Under Totals 2010,,,,,,
Home Team ID,Date,Opening Total,Opening Result,Closing Total,Closing Result,Game Total
MIN 9 @ NO 14,2010-09-09,51.5,under,51.5,under,23
